# energy_eV muE
9.882805000000000291e+03 4.350177900000000153e-01
9.888677999999999884e+03 4.304469400000000001e-01
9.894569999999999709e+03 4.258247099999999952e-01
9.900480999999999767e+03 4.213680300000000045e-01
9.906412000000000262e+03 4.171541599999999961e-01
9.912361000000000786e+03 4.128854299999999977e-01
9.918328999999999724e+03 4.086826299999999912e-01
9.924316000000000713e+03 4.044238399999999789e-01
9.930323000000000320e+03 3.998154600000000114e-01
9.936349000000000160e+03 3.951873699999999823e-01
9.942393000000000029e+03 3.907022399999999784e-01
9.948456000000000131e+03 3.862628300000000015e-01
9.954539000000000669e+03 3.816228300000000240e-01
9.960640999999999622e+03 3.771090599999999959e-01
9.966761000000000422e+03 3.727237299999999753e-01
9.972899999999999636e+03 3.680021099999999934e-01
9.979058999999999287e+03 3.639083599999999863e-01
9.985236000000000786e+03 3.594124100000000155e-01
9.991433999999999287e+03 3.550805400000000001e-01
9.997647999999999229e+03 3.505595499999999975e-01
1.000387999999999920e+04 3.461775799999999848e-01
1.001013999999999942e+04 3.415120200000000272e-01
1.001640999999999985e+04 3.371555299999999811e-01
1.002270000000000073e+04 3.323764799999999742e-01
1.002901000000000022e+04 3.277176900000000059e-01
1.003534000000000015e+04 3.231985499999999734e-01
1.004169000000000051e+04 3.188494000000000050e-01
1.004805999999999949e+04 3.147589499999999818e-01
1.005445000000000073e+04 3.104519399999999818e-01
1.006085000000000036e+04 3.063026200000000254e-01
1.006728000000000065e+04 3.016832899999999928e-01
1.007371999999999935e+04 2.973802500000000126e-01
1.008018000000000029e+04 2.928054399999999724e-01
1.008665999999999985e+04 2.882209399999999810e-01
1.009317000000000007e+04 2.837122799999999834e-01
1.009969000000000051e+04 2.792798300000000067e-01
1.010621999999999935e+04 2.749443200000000198e-01
1.011278000000000065e+04 2.707027900000000264e-01
1.011936000000000058e+04 2.663289600000000035e-01
1.012595999999999913e+04 2.617496599999999951e-01
1.013256999999999971e+04 2.570474700000000001e-01
1.013920999999999913e+04 2.523528999999999911e-01
1.014586000000000058e+04 2.489091099999999890e-01
